圖騰,你是誰,最常遇到的瓶頸,建議,擁有什麼樣的禮物
紅龍,你就像家裡的守護者，總是默默地提供溫暖和安全，讓身邊的人感受到被照顧的感覺。,你太照顧別人，可能搞得自己超累，忘了自己的需求。,先把自己的需求放進清單裡，不需要拚命當超人。,你有像媽媽一樣的包容和照顧天賦，很適合幫助別人建立安全感，也能帶團隊穩住情緒。
白風,你像個天生的溝通高手，總是能用言語打開話匣子，讓人聽你說話覺得舒服又有趣。,講話太快或情緒上來的時候，容易讓別人聽不懂或誤會你。,花點時間先釐清自己心裡的重點，再開口表達就好。,你的說話天分很強，就像主持人一樣能清楚表達，適合用在談判或簡報，影響他人。
藍夜,你是個夢想家，腦袋裡充滿靈感和直覺，喜歡探索看不見的世界和未知的可能。,夢很多，但如果都不付諸行動，會變成一直在空想。,寫下夢想後，馬上列出第一步，從行動開始。,你的靈感和直覺超敏銳，就像夢境大師，可以靠冥想或寫夢日記，啟發創意或靈感。
黃種子,你是個種子播種者，擅長發現潛力和機會，默默耕耘、一步步讓夢想發芽。,你想太快看到成果，常常會不耐煩，心急就亂了步調。,相信種子需要時間長大，每天小步慢慢來就好。,你看得出誰有潛力，超會規劃，像教練一樣適合幫別人慢慢養成目標。
紅蛇,你很會感受身體的能量，直覺敏銳，能用生命力帶動自己和他人。,情緒一來就可能爆發，會嚇到周圍的人。,當下就先深呼吸，或快走一下，把火氣散掉。,你對身體狀態很敏銳，像能量偵測器一樣，適合用來幫人覺察壓力或療癒身體。
白世界橋,你是大家之間的橋樑，善於連結和協調不同的人，讓衝突變成合作。,太想幫大家橋好關係，結果自己立場變得模糊，失去界線。,記得清理空間或人際，會讓你更自由、更有力量。,你擅長拆牆搭橋，很會協調與溝通，可以用來化解人與人之間的誤會或分歧。
藍手,你用雙手療癒世界，做事細心又有耐心，是個能夠實際付諸行動的療癒者。,老是想幫別人修補，反而把自己責任扛太多。,先顧好自己的身心，再去療癒別人，這樣才長久。,你雙手很靈巧，做東西或幫人按摩都行，還能修補關係，像療癒工匠一樣。
黃星星,你對美感特別敏感，喜歡把生活和工作打造得賞心悅目，散發自然的魅力。,美感要求太高，有時候會變得挑剔或龜毛。,先做出60分也沒關係，美感會慢慢雕琢出來。,你有良好的審美觀和藝術感，適合用在美學設計或任何需要展現創意的場合。
紅月,你情緒豐富又敏感，像條流動的河，能深刻感受到自己和別人的內心世界。,情緒太滿，容易影響判斷，看事情失焦。,每天花一點時間寫情緒日記，安定心緒。,你情緒感受力很強，像療癒師能共情他人，適合在陪伴或諮商裡安撫對方。
白狗,你是忠誠的朋友，總是願意給予無條件的愛和支持，是大家心中的安心感來源。,太想對每個人都好，結果常常忽略自己的界線。,愛別人之前，先愛自己、學會說「不」沒關係。,你很會給人溫暖和支持，像最貼心的朋友一樣，可以成為關係裡的穩定力量。
藍猴,你是個活潑的開心果，喜歡搞笑和玩樂，讓周圍的人都能輕鬆自在。,太貪玩，有時候會搞得事情沒結束就跑去別的地方。,設一個簡單的小目標，先做完再玩也不遲。,你的幽默感和玩樂精神很強，可以炒熱氣氛，也能用來突破大家的思考僵局。
黃人,你尊重自由和選擇，喜歡給人空間，是個能夠理解和包容的導師。,顧慮太多，想要大家都開心，最後自己反而卡住不敢決定。,記得你有自由選擇的權利，不用讓每個人都滿意。,你很會尊重別人的選擇，就像中立的調停者，適合協助群體找到共同決定。
紅天行者,你是冒險家，熱愛探索新領域和未知的旅程，不怕挑戰。,東闖西闖結果失去目標感，容易空虛或迷失方向。,回家照顧自己的內心，也是一種探索旅程。,你勇於冒險，能當先鋒打頭陣，帶人開發新市場或新環境。
白巫師,你帶有神秘色彩，懂得用儀式和智慧幫助自己和他人轉化能量。,太神祕讓別人不知道你在想什麼，難以親近。,偶爾也要打開心門，多和朋友分享日常瑣事。,你對時間和儀式有敏銳度，就像心靈導師，可以用儀式幫助別人找到重心。
藍鷹,你有遠見卓識，能看到整體局勢，擅長制定策略和規劃未來。,眼界太遠，常常忽略眼前的小細節。,把大夢拆成小步驟，從當下可做的開始。,你的視野很寬廣，像策略家，適合幫助團隊規劃大方向或未來目標。
黃戰士,你是戰士，充滿勇氣和毅力，敢於面對挑戰和克服困難。,太愛挑戰，變成凡事都想辯到底，容易把關係弄僵。,溫柔一點，別人不是敵人，適時放下防備。,你面對挑戰時很勇敢，就像領隊，能激勵團隊衝破難關。
紅地球,你是團隊的中心，重視共生與合作，喜歡為大家打造穩定的環境。,太在意別人的需求，會忘了自己真正想要的是什麼。,記得停下來感受內心真正的聲音，再決定方向。,你善於凝聚大家，像大家長一樣讓人覺得安心，適合整合不同資源。
白鏡,你像一面鏡子，能真實反映事物本質，對自己和他人都很誠實。,觀察太銳利，有時候會不小心傷到人。,看到別人的缺點時，也請溫柔對待自己和他人。,你看事情超誠實又清楚，像一面鏡子幫人照見問題本質，適合當顧問或評審。
藍風暴,你是變革的推動者，能帶來突破和淨化，幫助自己和身邊的人重新開始。,改變得太猛，別人可能還沒跟上就被你震走了。,改變可以慢慢來，先說清楚再行動比較穩定。,你帶著強烈的更新能量，適合做變革管理，或在轉型期推動改革。
黃太陽,你是光和溫暖的來源，喜歡啟發他人，用自己的熱情照亮身邊的人。,總是想當溫暖的發光者，但有時會忽略自己的休息需求。,給自己保留充電時間，發光才會持久。,"你就像光一樣會鼓舞人心，適合當領導或教育者，把溫暖傳給更多人。
"
